Title,Battery Size (kWh),Top Speed (km/h),Range (km),Efficiency (Wh/km),Fastcharge Speed (km/h),price_pounds
Tesla Model 3,57.5,225,405,142,680,42990.00
Tesla Model Y Long Range Dual Motor,75,217,435,172,670,52990.00
Tesla Model 3 Long Range Dual Motor,75,233,485,155,750,50990.00
BYD ATTO 3,60.5,160,330,183,370,37195.00
Tesla Model 3,57.5,201,420,137,700,44000.00
Tesla Model Y,57.5,217,350,164,580,44990.00
Tesla Model 3 Long Range Dual Motor,75,201,505,149,780,52000.00
MG MG4 Electric 64 kWh,61.7,160,360,171,560,29495.00
Tesla Model 3 Performance,75,261,460,163,710,57990.00
BMW i4 eDrive40,80.7,190,515,157,800,57890.00
Tesla Model Y Performance,75,250,415,181,640,59990.00
Tesla Model S Plaid,95,282,560,170,780,100000.00
BMW iX1 xDrive30,64.7,180,370,175,530,53295.00
Smart #1,62,180,335,185,520,35950.00
Tesla Model S Dual Motor,95,250,575,165,800,85000.00
Renault Megane E-Tech EV60 220hp,60,160,380,158,530,36995.00
Mercedes EQE 350+,90.6,210,525,173,780,
BYD HAN,85.4,180,475,180,450,
BMW iX xDrive40,71,200,360,197,480,69905.00
Hyundai Kona Electric 64 kWh,64,167,395,162,370,
Volvo EX30 Single Motor ER,64,180,370,173,550,38545.00
Skoda Enyaq iV 80,77,160,440,175,680,42925.00
BYD TANG,86.4,180,360,240,330,
Kia Niro EV,64.8,167,385,168,390,37295.00
Mercedes EQS 450+,107.8,210,635,170,950,105610.00
Mercedes EQC 400 4MATIC,80,180,370,216,440,
Tesla Model 3 Long Range RWD,75,233,495,152,770,46990.00
Audi e-tron GT RS,85,250,405,210,1000,119000.00
Dacia Spring Electric 45,25,125,165,152,180,
Hyundai IONIQ 6 Long Range AWD,74,185,440,168,1150,50540.00
Hongqi E-HS9 99 kWh,90,200,370,243,430,
Renault Zoe ZE50 R110,52,135,315,165,230,
MG ZS EV Long Range,68.3,175,370,185,420,32995.00
Peugeot e-208,46.3,150,285,162,460,31595.00
Audi Q4 e-tron 40,76.6,160,405,189,630,50630.00
Volkswagen ID.4 Pro Performance,77,160,410,188,630,46035.00
BMW iX xDrive50,105.2,200,505,208,680,102755.00
BMW i7 xDrive60,101.7,240,510,199,760,113970.00
BMW i4 M50,80.7,225,450,179,700,71085.00
Volkswagen ID.4 Pro,77,160,410,188,630,44605.00
BMW i4 eDrive35,67,190,430,156,580,49995.00
Zeekr 001 Performance AWD,94,200,505,186,700,
BMW iX3,74,180,385,192,520,64165.00
MG MG4 Electric 51 kWh,50.8,160,300,169,340,26995.00
Volkswagen ID.3 Pro,58,160,350,166,450,37115.00
Toyota bZ4X FWD,64,160,340,188,510,46110.00
Lexus RZ 450e,64,160,320,200,480,64500.00
Kia EV6 GT,74,260,360,206,940,62645.00
Mini Cooper SE,28.9,150,180,161,260,32550.00
Jeep Avenger Electric,50.8,150,300,169,480,35700.00
Volkswagen ID.7 Pro,77,180,475,162,710,53000.00
Kia EV6 Long Range 2WD,74,185,410,180,1070,45245.00
Volkswagen ID. Buzz Pro,77,145,345,223,480,58915.00
Audi Q8 e-tron 55 quattro,106,200,495,214,630,77800.00
Volvo EX30 Single Motor,49,180,280,175,430,33795.00
Fiat 500e Hatchback 42 kWh,37.3,150,235,159,390,31195.00
Opel Astra Electric,50.8,170,310,164,500,39995.00
Tesla Model X Dual Motor,95,250,475,200,660,105000.00
