name,selling_price,km_driven,fuel,transmission,engine (CC),max_power(bhp),seats,Clusters
Maruti Swift Dzire VDI,450000,145500,Diesel,Manual,1248.0,74.0,5.0,0
Skoda Rapid 1.5 TDI Ambition,370000,120000,Diesel,Manual,1498.0,103.52,5.0,0
Honda City 2017-2020 EXi,158000,140000,Petrol,Manual,1497.0,78.0,5.0,1
Hyundai i20 Sportz Diesel,225000,127000,Diesel,Manual,1396.0,90.0,5.0,0
Maruti Swift VXI BSIII,130000,120000,Petrol,Manual,1298.0,88.2,5.0,1
Hyundai Xcent 1.2 VTVT E Plus,440000,45000,Petrol,Manual,1197.0,81.86,5.0,1
Maruti Wagon R LXI DUO BSIII,96000,175000,LPG,Manual,1061.0,57.5,5.0,4
Maruti 800 DX BSII,45000,5000,Petrol,Manual,796.0,37.0,4.0,1
Toyota Etios VXD,350000,90000,Diesel,Manual,1364.0,67.1,5.0,0
Ford Figo Diesel Celebration Edition,200000,169000,Diesel,Manual,1399.0,68.1,5.0,0
Renault Duster 110PS Diesel RxL,500000,68000,Diesel,Manual,1461.0,108.45,5.0,0
Maruti Zen LX,92000,100000,Petrol,Manual,993.0,60.0,5.0,1
Maruti Swift Dzire VDi,280000,140000,Diesel,Manual,1248.0,73.9,5.0,0
Maruti Wagon R LXI Minor,180000,90000,Petrol,Manual,1061.0,67.0,5.0,1
Mahindra KUV 100 mFALCON G80 K8 5str,400000,40000,Petrol,Manual,1198.0,82.0,5.0,1
Maruti Ertiga SHVS VDI,778000,70000,Diesel,Manual,1248.0,88.5,7.0,0
Hyundai i20 1.4 CRDi Asta,500000,53000,Diesel,Manual,1396.0,90.0,5.0,0
Maruti Alto LX,150000,80000,Petrol,Manual,796.0,46.3,5.0,1
Hyundai i20 2015-2017 Asta 1.4 CRDi,680000,100000,Diesel,Manual,1396.0,88.73,5.0,0
Mahindra Verito 1.5 D4 BSIII,174000,100000,Diesel,Manual,1461.0,64.1,5.0,0
Honda WR-V i-DTEC VX,950000,50000,Diesel,Manual,1498.0,98.6,5.0,0
Maruti Swift Dzire ZDI,525000,40000,Diesel,Manual,1248.0,74.0,5.0,0
Maruti SX4 ZDI,600000,72000,Diesel,Manual,1248.0,88.8,5.0,0
Tata Tigor 2017-2020 XZ,500000,35000,Petrol,Manual,1199.0,83.81,5.0,1
Maruti Baleno Delta 1.2,575000,45000,Petrol,Manual,1197.0,83.1,5.0,1
Maruti Alto 800 LXI,275000,28000,Petrol,Manual,796.0,47.3,5.0,1
Chevrolet Enjoy TCDi LTZ 7 Seater,300000,70000,Diesel,Manual,1248.0,73.8,7.0,0
Maruti Wagon R LXI Minor,220000,120000,Petrol,Manual,1061.0,67.0,5.0,1
Maruti Omni E MPI STD BS IV,254999,25000,Petrol,Manual,796.0,34.2,8.0,1
Maruti Vitara Brezza LDi Option,670000,70000,Diesel,Manual,1248.0,88.5,5.0,0
Maruti Omni 8 Seater BSIV,150000,35000,Petrol,Manual,796.0,35.0,5.0,1
Hyundai i20 1.2 Asta Dual Tone,730000,2388,Petrol,Manual,1197.0,81.83,5.0,1
Maruti Vitara Brezza LDi,650000,16200,Diesel,Manual,1248.0,88.5,5.0,0
Maruti Alto 800 CNG LXI Optional,330000,10000,CNG,Manual,796.0,40.3,4.0,3
Maruti Alto K10 VXI Airbag,366000,15000,Petrol,Manual,998.0,67.1,5.0,1
Hyundai Verna VTVT 1.6 SX Option,1149000,5000,Petrol,Manual,1591.0,121.3,5.0,1
Datsun GO D,150000,42000,Petrol,Manual,1198.0,67.0,5.0,1
Tata Safari DICOR 2.2 LX 4x2,425000,60000,Diesel,Manual,2179.0,138.03,7.0,0
Maruti 800 Std,150000,76000,Petrol,Manual,796.0,37.0,4.0,1
Jeep Compass 1.4 Limited Plus BSIV,2100000,5000,Petrol,Automatic,1368.0,160.77,5.0,2
Honda City i VTEC VX,925000,28900,Petrol,Manual,1497.0,117.3,5.0,1
Honda City V MT,425000,86300,Petrol,Manual,1497.0,116.3,5.0,1
Maruti Swift Dzire VXi AT,675000,23300,Petrol,Automatic,1197.0,83.14,5.0,2
Maruti Vitara Brezza VDi,819999,32600,Diesel,Manual,1248.0,88.5,5.0,0
Maruti Alto K10 VXI,390000,10300,Petrol,Manual,998.0,67.05,5.0,1
Toyota Fortuner 4x4 MT,1500000,77000,Diesel,Manual,2982.0,168.5,7.0,0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,700000,99000,Diesel,Manual,2494.0,100.0,7.0,0
Mercedes-Benz B Class B180,1450000,27800,Diesel,Automatic,2143.0,120.7,5.0,2
Honda Amaze S Diesel,425000,49800,Diesel,Manual,1498.0,98.63,5.0,0
Mitsubishi Pajero Sport 4X4,1090000,151000,Diesel,Manual,2477.0,175.56,7.0,0
Honda City i DTEC S,600000,54700,Diesel,Manual,1498.0,98.6,5.0,0
Maruti Ciaz Zeta,850000,64000,Petrol,Manual,1462.0,103.25,5.0,1
Honda Jazz VX Diesel,525000,63000,Diesel,Manual,1498.0,98.6,5.0,0
Toyota Innova Crysta 2.8 ZX AT BSIV,1650000,127700,Diesel,Automatic,2755.0,171.5,7.0,2
Toyota Innova 2.5 G (Diesel) 7 Seater,950000,99000,Diesel,Manual,2494.0,100.6,7.0,0
Audi A6 2.0 TDI Technology,1750000,33900,Diesel,Automatic,1968.0,174.33,5.0,2
Toyota Corolla Altis 1.8 VL CVT,1590000,25000,Petrol,Automatic,1798.0,138.03,5.0,2
Audi A6 2.0 TDI  Design Edition,1689999,50000,Diesel,Automatic,1968.0,187.74,5.0,2
Mercedes-Benz New C-Class 220 CDI AT,1425000,59000,Diesel,Automatic,2143.0,170.0,5.0,2
Tata Manza ELAN Quadrajet BS IV,265000,120000,Diesel,Manual,1248.0,88.8,5.0,0
