Title,Battery Size (kWh),Top Speed (km/h),Range (km),Efficiency (Wh/km),Fastcharge Speed (km/h),price_pounds,Clusters
Tesla Model 3,57.5,225,405,142,680,42990.0,0
Tesla Model Y Long Range Dual Motor,75.0,217,435,172,670,52990.0,0
Tesla Model 3 Long Range Dual Motor,75.0,233,485,155,750,50990.0,0
BYD ATTO 3,60.5,160,330,183,370,37195.0,2
Tesla Model 3,57.5,201,420,137,700,44000.0,0
Tesla Model Y,57.5,217,350,164,580,44990.0,2
Tesla Model 3 Long Range Dual Motor,75.0,201,505,149,780,52000.0,0
MG MG4 Electric 64 kWh,61.7,160,360,171,560,29495.0,2
Tesla Model 3 Performance,75.0,261,460,163,710,57990.0,0
BMW i4 eDrive40,80.7,190,515,157,800,57890.0,0
Tesla Model Y Performance,75.0,250,415,181,640,59990.0,0
Tesla Model S Plaid,95.0,282,560,170,780,100000.0,3
BMW iX1 xDrive30,64.7,180,370,175,530,53295.0,2
Smart #1,62.0,180,335,185,520,35950.0,2
Tesla Model S Dual Motor,95.0,250,575,165,800,85000.0,3
Renault Megane E-Tech EV60 220hp,60.0,160,380,158,530,36995.0,2
Mercedes EQE 350+,90.6,210,525,173,780,50830.0,0
BYD HAN,85.4,180,475,180,450,50830.0,0
BMW iX xDrive40,71.0,200,360,197,480,69905.0,0
Hyundai Kona Electric 64 kWh,64.0,167,395,162,370,50830.0,2
Volvo EX30 Single Motor ER,64.0,180,370,173,550,38545.0,2
Skoda Enyaq iV 80,77.0,160,440,175,680,42925.0,0
BYD TANG,86.4,180,360,240,330,50830.0,1
Kia Niro EV,64.8,167,385,168,390,37295.0,2
Mercedes EQS 450+,107.8,210,635,170,950,105610.0,3
Mercedes EQC 400 4MATIC,80.0,180,370,216,440,50830.0,0
Tesla Model 3 Long Range RWD,75.0,233,495,152,770,46990.0,0
Audi e-tron GT RS,85.0,250,405,210,1000,119000.0,3
Dacia Spring Electric 45,25.0,125,165,152,180,50830.0,2
Hyundai IONIQ 6 Long Range AWD,74.0,185,440,168,1150,50540.0,0
Hongqi E-HS9 99 kWh,90.0,200,370,243,430,50830.0,0
Renault Zoe ZE50 R110,52.0,135,315,165,230,50830.0,2
MG ZS EV Long Range,68.3,175,370,185,420,32995.0,2
Peugeot e-208,46.3,150,285,162,460,31595.0,2
Audi Q4 e-tron 40,76.6,160,405,189,630,50630.0,0
Volkswagen ID.4 Pro Performance,77.0,160,410,188,630,46035.0,0
BMW iX xDrive50,105.2,200,505,208,680,102755.0,3
BMW i7 xDrive60,101.7,240,510,199,760,113970.0,3
BMW i4 M50,80.7,225,450,179,700,71085.0,0
Volkswagen ID.4 Pro,77.0,160,410,188,630,44605.0,0
BMW i4 eDrive35,67.0,190,430,156,580,49995.0,0
Zeekr 001 Performance AWD,94.0,200,505,186,700,50830.0,0
BMW iX3,74.0,180,385,192,520,64165.0,0
MG MG4 Electric 51 kWh,50.8,160,300,169,340,26995.0,2
Volkswagen ID.3 Pro,58.0,160,350,166,450,37115.0,2
Toyota bZ4X FWD,64.0,160,340,188,510,46110.0,2
Lexus RZ 450e,64.0,160,320,200,480,64500.0,2
Kia EV6 GT,74.0,260,360,206,940,62645.0,3
Mini Cooper SE,28.9,150,180,161,260,32550.0,2
Jeep Avenger Electric,50.8,150,300,169,480,35700.0,2
Volkswagen ID.7 Pro,77.0,180,475,162,710,53000.0,0
Kia EV6 Long Range 2WD,74.0,185,410,180,1070,45245.0,0
Volkswagen ID. Buzz Pro,77.0,145,345,223,480,58915.0,1
Audi Q8 e-tron 55 quattro,106.0,200,495,214,630,77800.0,0
Volvo EX30 Single Motor,49.0,180,280,175,430,33795.0,2
Fiat 500e Hatchback 42 kWh,37.3,150,235,159,390,31195.0,2
Opel Astra Electric,50.8,170,310,164,500,39995.0,2
Tesla Model X Dual Motor,95.0,250,475,200,660,105000.0,3
Nissan Leaf,39.0,144,235,166,230,28995.0,2
Volkswagen ID.4 Pure,52.0,160,285,182,360,38845.0,2
Nissan Ariya 87kWh,87.0,160,450,193,540,44645.0,0
MG MG4 Electric 77 kWh,74.4,180,425,175,430,36495.0,0
CUPRA Born 150 kW - 58 kWh,58.0,160,350,166,470,36475.0,2
Hyundai Kona Electric 65 kWh,65.4,170,390,168,400,38595.0,2
BMW i5 eDrive40 Sedan,81.2,193,475,171,710,74105.0,0
BYD DOLPHIN 60.4 kWh,60.5,160,340,178,340,31000.0,2
Opel Mokka-e,46.3,150,260,178,420,38835.0,2
Hyundai IONIQ 6 Long Range 2WD,74.0,185,495,149,1290,47040.0,0
MG MG4 Electric XPOWER,61.7,200,320,193,490,36495.0,2
MG MG5 Electric Long Range,57.4,185,335,171,330,30995.0,2
Mercedes EQA 250+,70.5,160,420,168,580,49750.0,0
Skoda Enyaq iV 60,58.0,160,340,171,460,38970.0,2
Mercedes EQS 580 4MATIC,107.8,210,595,181,890,50830.0,0
Tesla Model X Plaid,95.0,262,455,209,630,120000.0,3
Volkswagen ID.7 Pro S,86.0,180,520,165,800,56000.0,0
Rolls-Royce Spectre,100.0,250,455,220,540,350000.0,3
Fisker Ocean Ultra,106.5,200,535,199,640,49880.0,0
Hyundai IONIQ 5 Long Range 2WD,74.0,185,390,190,1020,46945.0,0
Citroen e-C4,46.3,150,290,160,460,31995.0,2
Volkswagen e-Up!,32.3,130,205,158,170,50830.0,2
BYD DOLPHIN 44.9 kWh Active,44.9,150,255,176,260,26000.0,2
Polestar 2 Long Range Single Motor,79.0,205,455,174,680,48950.0,0
Lucid Air Dream Edition R,118.0,270,685,172,870,50830.0,3
Volvo EX30 Twin Motor Performance,64.0,180,360,178,540,40995.0,2
Kia EV9 99.8 kWh AWD,95.0,200,420,226,760,50830.0,0
Mercedes EQB 250,66.5,160,385,173,550,50830.0,2
Renault Zoe ZE50 R135,52.0,140,310,168,230,29995.0,2
Lotus Eletre,109.0,250,495,220,1040,89500.0,3
Kia EV6 Long Range AWD,74.0,185,400,185,1050,51745.0,0
CUPRA Born 170 kW - 77 kWh,77.0,160,450,171,630,41975.0,0
Opel Corsa-e,46.3,150,295,157,470,33930.0,2
BMW iX M60,105.2,250,485,217,650,122775.0,3
Volvo XC40 Recharge Twin Motor,79.0,180,390,203,580,51755.0,0
Hyundai IONIQ 5 Long Range AWD,74.0,185,385,192,1010,50445.0,0
Mazda MX-30,30.0,140,170,176,210,31250.0,2
Polestar 4 Long Range Dual Motor,94.0,200,475,198,710,60000.0,0
Mercedes EQB 350 4MATIC,66.5,160,340,196,490,56810.0,2
MG Marvel R Performance,70.0,200,350,200,380,50830.0,2
Subaru Solterra AWD,64.0,160,320,200,480,49995.0,2
Audi Q4 e-tron 35,52.0,160,285,182,360,50830.0,2
Mercedes EQE 300,89.0,210,515,173,650,74345.0,0
NIO ET5 100 kWh,90.0,200,500,180,520,50830.0,0
Maxus MIFA 9,90.0,180,345,261,290,65290.0,1
Zeekr 001 Long Range RWD,94.0,200,530,177,740,50830.0,0
Honda e:Ny1,62.0,160,360,172,320,50830.0,2
Polestar 4 Long Range Single Motor,94.0,180,510,184,760,55000.0,0
Hyundai IONIQ 5 Standard Range 2WD,54.0,185,295,183,720,43445.0,2
Audi e-tron GT quattro,85.0,245,420,202,1030,87800.0,3
Hyundai Kona Electric 39 kWh,39.2,155,250,157,220,50830.0,2
Fisker Ocean One,106.5,205,530,201,630,60880.0,0
Audi Q8 e-tron Sportback 55 quattro,106.0,200,525,202,660,80300.0,0
Skoda Enyaq Coupe iV RS,77.0,180,435,177,600,54370.0,0
